RUN	bank.BalanceSimulation	balancesimulation	1593599353025	 	3.3.1
USER	Balance	1	START	1593599354502	1593599354502
USER	Balance	2	START	1593599354503	1593599354503
USER	Balance	5	START	1593599354504	1593599354504
USER	Balance	11	START	1593599354507	1593599354507
USER	Balance	7	START	1593599354504	1593599354504
USER	Balance	4	START	1593599354503	1593599354503
USER	Balance	6	START	1593599354504	1593599354504
USER	Balance	8	START	1593599354505	1593599354505
USER	Balance	10	START	1593599354506	1593599354506
USER	Balance	9	START	1593599354505	1593599354505
USER	Balance	3	START	1593599354503	1593599354503
USER	Balance	12	START	1593599355018	1593599355018
REQUEST	5		Get Balance	1593599354559	1593599355014	OK	 
REQUEST	8		Get Balance	1593599354566	1593599355016	OK	 
REQUEST	6		Get Balance	1593599354562	1593599355016	OK	 
REQUEST	3		Get Balance	1593599354557	1593599355017	OK	 
USER	Balance	3	END	1593599354503	1593599355049
USER	Balance	5	END	1593599354504	1593599355049
USER	Balance	8	END	1593599354505	1593599355049
USER	Balance	6	END	1593599354504	1593599355049
REQUEST	1		Get Balance	1593599354563	1593599355052	OK	 
USER	Balance	1	END	1593599354502	1593599355053
REQUEST	2		Get Balance	1593599354560	1593599355055	OK	 
USER	Balance	2	END	1593599354503	1593599355056
REQUEST	7		Get Balance	1593599354565	1593599355061	OK	 
USER	Balance	7	END	1593599354504	1593599355062
REQUEST	10		Get Balance	1593599354562	1593599355068	OK	 
USER	Balance	10	END	1593599354506	1593599355083
REQUEST	4		Get Balance	1593599354565	1593599355091	OK	 
REQUEST	11		Get Balance	1593599354564	1593599355091	OK	 
USER	Balance	4	END	1593599354503	1593599355092
USER	Balance	11	END	1593599354507	1593599355092
REQUEST	9		Get Balance	1593599354561	1593599355094	OK	 
USER	Balance	9	END	1593599354505	1593599355095
REQUEST	12		Get Balance	1593599355019	1593599355405	OK	 
USER	Balance	12	END	1593599355018	1593599355406
USER	Balance	13	START	1593599355519	1593599355519
REQUEST	13		Get Balance	1593599355520	1593599355908	OK	 
USER	Balance	13	END	1593599355519	1593599355909
USER	Balance	14	START	1593599356031	1593599356031
REQUEST	14		Get Balance	1593599356032	1593599356396	OK	 
USER	Balance	14	END	1593599356031	1593599356398
USER	Balance	15	START	1593599356532	1593599356532
REQUEST	15		Get Balance	1593599356533	1593599356914	OK	 
USER	Balance	15	END	1593599356532	1593599356915
USER	Balance	16	START	1593599357002	1593599357002
REQUEST	16		Get Balance	1593599357003	1593599357410	OK	 
USER	Balance	16	END	1593599357002	1593599357411
USER	Balance	17	START	1593599357504	1593599357504
REQUEST	17		Get Balance	1593599357504	1593599357896	OK	 
USER	Balance	17	END	1593599357504	1593599357898
USER	Balance	18	START	1593599358001	1593599358001
REQUEST	18		Get Balance	1593599358002	1593599358384	OK	 
USER	Balance	18	END	1593599358001	1593599358385
USER	Balance	19	START	1593599358502	1593599358502
REQUEST	19		Get Balance	1593599358503	1593599358911	OK	 
USER	Balance	19	END	1593599358502	1593599358913
USER	Balance	20	START	1593599358990	1593599358990
REQUEST	20		Get Balance	1593599358991	1593599359387	OK	 
USER	Balance	20	END	1593599358990	1593599359389
USER	Balance	21	START	1593599359492	1593599359492
USER	Balance	22	START	1593599359502	1593599359502
USER	Balance	24	START	1593599359502	1593599359502
USER	Balance	23	START	1593599359502	1593599359502
USER	Balance	27	START	1593599359513	1593599359513
USER	Balance	26	START	1593599359513	1593599359513
