RUN	bank.CreateAccountSimulation	createaccountsimulation	1593599673367	 	3.3.1
USER	Create account	6	START	1593599674868	1593599674868
USER	Create account	9	START	1593599674868	1593599674868
USER	Create account	3	START	1593599674867	1593599674867
USER	Create account	7	START	1593599674868	1593599674868
USER	Create account	8	START	1593599674868	1593599674868
USER	Create account	1	START	1593599674867	1593599674867
USER	Create account	2	START	1593599674867	1593599674867
USER	Create account	11	START	1593599674874	1593599674874
USER	Create account	10	START	1593599674872	1593599674872
USER	Create account	5	START	1593599674867	1593599674867
USER	Create account	4	START	1593599674867	1593599674867
USER	Create account	12	START	1593599675379	1593599675379
REQUEST	1		Create new account	1593599674932	1593599675420	OK	 
REQUEST	11		Create new account	1593599674932	1593599675414	OK	 
REQUEST	8		Create new account	1593599674927	1593599675427	OK	 
REQUEST	5		Create new account	1593599674934	1593599675420	OK	 
USER	Create account	11	END	1593599674874	1593599675437
USER	Create account	1	END	1593599674867	1593599675437
USER	Create account	5	END	1593599674867	1593599675437
USER	Create account	8	END	1593599674868	1593599675437
REQUEST	4		Create new account	1593599674936	1593599675469	OK	 
REQUEST	7		Create new account	1593599674931	1593599675483	OK	 
REQUEST	2		Create new account	1593599674933	1593599675483	OK	 
USER	Create account	4	END	1593599674867	1593599675483
USER	Create account	7	END	1593599674868	1593599675484
REQUEST	3		Create new account	1593599674930	1593599675486	OK	 
USER	Create account	2	END	1593599674867	1593599675499
USER	Create account	3	END	1593599674867	1593599675499
REQUEST	6		Create new account	1593599674928	1593599675510	OK	 
USER	Create account	6	END	1593599674868	1593599675511
REQUEST	10		Create new account	1593599674935	1593599675519	OK	 
USER	Create account	10	END	1593599674872	1593599675520
REQUEST	9		Create new account	1593599674929	1593599675530	OK	 
USER	Create account	9	END	1593599674868	1593599675532
REQUEST	12		Create new account	1593599675380	1593599675771	OK	 
USER	Create account	12	END	1593599675379	1593599675773
USER	Create account	13	START	1593599675876	1593599675876
REQUEST	13		Create new account	1593599675877	1593599676254	OK	 
USER	Create account	13	END	1593599675876	1593599676255
USER	Create account	14	START	1593599676374	1593599676374
REQUEST	14		Create new account	1593599676375	1593599676746	OK	 
USER	Create account	14	END	1593599676374	1593599676748
USER	Create account	15	START	1593599676879	1593599676879
REQUEST	15		Create new account	1593599676880	1593599677248	OK	 
USER	Create account	15	END	1593599676879	1593599677249
USER	Create account	16	START	1593599677346	1593599677346
REQUEST	16		Create new account	1593599677346	1593599677716	OK	 
USER	Create account	16	END	1593599677346	1593599677720
USER	Create account	17	START	1593599677844	1593599677844
REQUEST	17		Create new account	1593599677845	1593599678217	OK	 
USER	Create account	17	END	1593599677844	1593599678218
USER	Create account	18	START	1593599678365	1593599678365
REQUEST	18		Create new account	1593599678367	1593599678757	OK	 
USER	Create account	18	END	1593599678365	1593599678758
USER	Create account	19	START	1593599678868	1593599678868
REQUEST	19		Create new account	1593599678869	1593599679257	OK	 
USER	Create account	19	END	1593599678868	1593599679258
USER	Create account	20	START	1593599679354	1593599679354
REQUEST	20		Create new account	1593599679355	1593599679792	OK	 
USER	Create account	20	END	1593599679354	1593599679793
USER	Create account	21	START	1593599679854	1593599679854
USER	Create account	22	START	1593599679865	1593599679865
USER	Create account	24	START	1593599679865	1593599679865
USER	Create account	23	START	1593599679865	1593599679865
USER	Create account	25	START	1593599679875	1593599679875
USER	Create account	27	START	1593599679875	1593599679875
USER	Create account	26	START	1593599679875	1593599679875
USER	Create account	29	START	1593599679886	1593599679886
USER	Create account	28	START	1593599679886	1593599679886
USER	Create account	30	START	1593599679886	1593599679886
USER	Create account	32	START	1593599679897	1593599679897
USER	Create account	31	START	1593599679897	1593599679897
USER	Create account	33	START	1593599679897	1593599679897
USER	Create account	35	START	1593599679908	1593599679908
USER	Create account	34	START	1593599679908	1593599679908
USER	Create account	37	START	1593599679918	1593599679918
USER	Create account	36	START	1593599679918	1593599679918
USER	Create account	38	START	1593599679919	1593599679919
USER	Create account	41	START	1593599679929	1593599679929
USER	Create account	40	START	1593599679929	1593599679929
USER	Create account	39	START	1593599679929	1593599679929
USER	Create account	42	START	1593599679934	1593599679934
USER	Create account	43	START	1593599679934	1593599679934
USER	Create account	44	START	1593599679934	1593599679934
USER	Create account	45	START	1593599679945	1593599679945
USER	Create account	47	START	1593599679945	1593599679945
USER	Create account	46	START	1593599679945	1593599679945
USER	Create account	48	START	1593599679956	1593599679956
USER	Create account	49	START	1593599679956	1593599679956
USER	Create account	50	START	1593599679956	1593599679956
USER	Create account	53	START	1593599679966	1593599679966
USER	Create account	51	START	1593599679966	1593599679966
USER	Create account	52	START	1593599679966	1593599679966
USER	Create account	54	START	1593599679977	1593599679977
USER	Create account	55	START	1593599679977	1593599679977
USER	Create account	56	START	1593599679977	1593599679977
USER	Create account	58	START	1593599679988	1593599679988
USER	Create account	57	START	1593599679988	1593599679988
USER	Create account	59	START	1593599679988	1593599679988
USER	Create account	60	START	1593599679998	1593599679998
USER	Create account	62	START	1593599679999	1593599679999
USER	Create account	61	START	1593599679999	1593599679999
USER	Create account	65	START	1593599680009	1593599680009
USER	Create account	64	START	1593599680009	1593599680009
USER	Create account	63	START	1593599680009	1593599680009
USER	Create account	66	START	1593599680014	1593599680014
USER	Create account	68	START	1593599680014	1593599680014
USER	Create account	67	START	1593599680014	1593599680014
USER	Create account	70	START	1593599680024	1593599680024
USER	Create account	69	START	1593599680024	1593599680024
USER	Create account	71	START	1593599680024	1593599680024
USER	Create account	72	START	1593599680035	1593599680035
USER	Create account	73	START	1593599680035	1593599680035
USER	Create account	74	START	1593599680035	1593599680035
USER	Create account	75	START	1593599680045	1593599680045
USER	Create account	76	START	1593599680045	1593599680045
USER	Create account	77	START	1593599680045	1593599680045
USER	Create account	78	START	1593599680056	1593599680056
USER	Create account	80	START	1593599680056	1593599680056
USER	Create account	79	START	1593599680056	1593599680056
USER	Create account	82	START	1593599680067	1593599680067
USER	Create account	81	START	1593599680067	1593599680067
USER	Create account	83	START	1593599680067	1593599680067
USER	Create account	86	START	1593599680077	1593599680077
USER	Create account	85	START	1593599680077	1593599680077
USER	Create account	84	START	1593599680077	1593599680077
USER	Create account	87	START	1593599680088	1593599680088
USER	Create account	89	START	1593599680088	1593599680088
USER	Create account	88	START	1593599680088	1593599680088
USER	Create account	91	START	1593599680099	1593599680099
USER	Create account	90	START	1593599680099	1593599680099
USER	Create account	92	START	1593599680099	1593599680099
USER	Create account	93	START	1593599680104	1593599680104
