RUN	bank.TotalLoadSimulation	totalloadsimulation	1593599850915	 	3.3.1
USER	Bank Load	8	START	1593599852512	1593599852512
USER	Bank Load	5	START	1593599852512	1593599852512
USER	Bank Load	4	START	1593599852511	1593599852511
USER	Bank Load	11	START	1593599852517	1593599852517
USER	Bank Load	6	START	1593599852512	1593599852512
USER	Bank Load	2	START	1593599852511	1593599852511
USER	Bank Load	9	START	1593599852512	1593599852512
USER	Bank Load	10	START	1593599852513	1593599852513
USER	Bank Load	7	START	1593599852512	1593599852512
USER	Bank Load	1	START	1593599852511	1593599852511
USER	Bank Load	3	START	1593599852511	1593599852511
USER	Bank Load	12	START	1593599853016	1593599853016
REQUEST	9		Get Balance	1593599852583	1593599853035	OK	 
REQUEST	6		Get Balance	1593599852580	1593599853043	OK	 
REQUEST	3		Get Balance	1593599852571	1593599853043	OK	 
REQUEST	10		Get Balance	1593599852582	1593599853037	OK	 
REQUEST	5		Get Balance	1593599852575	1593599853067	OK	 
REQUEST	4		Get Balance	1593599852576	1593599853087	OK	 
REQUEST	7		Get Balance	1593599852578	1593599853087	OK	 
REQUEST	1		Get Balance	1593599852581	1593599853092	OK	 
REQUEST	8		Get Balance	1593599852584	1593599853101	OK	 
REQUEST	2		Get Balance	1593599852574	1593599853116	OK	 
REQUEST	11		Get Balance	1593599852577	1593599853119	OK	 
REQUEST	3		Transaction	1593599853058	1593599853185	OK	 
USER	Bank Load	13	START	1593599853525	1593599853525
REQUEST	9		Transaction	1593599853058	1593599853681	OK	 
REQUEST	10		Transaction	1593599853058	1593599853687	OK	 
REQUEST	6		Transaction	1593599853058	1593599853697	OK	 
REQUEST	5		Transaction	1593599853068	1593599853717	OK	 
REQUEST	4		Transaction	1593599853088	1593599853726	OK	 
REQUEST	1		Transaction	1593599853094	1593599853733	OK	 
REQUEST	7		Transaction	1593599853088	1593599853744	OK	 
REQUEST	11		Transaction	1593599853120	1593599853764	OK	 
REQUEST	3		Create new account	1593599853186	1593599853768	OK	 
REQUEST	2		Transaction	1593599853117	1593599853774	OK	 
USER	Bank Load	3	END	1593599852511	1593599853776
REQUEST	8		Transaction	1593599853102	1593599853790	OK	 
REQUEST	12		Get Balance	1593599853018	1593599853803	OK	 
REQUEST	10		Create new account	1593599853688	1593599853816	OK	 
USER	Bank Load	10	END	1593599852513	1593599853817
REQUEST	9		Create new account	1593599853682	1593599853819	OK	 
USER	Bank Load	9	END	1593599852512	1593599853820
REQUEST	6		Create new account	1593599853698	1593599853830	OK	 
USER	Bank Load	6	END	1593599852512	1593599853831
REQUEST	5		Create new account	1593599853718	1593599853841	OK	 
USER	Bank Load	5	END	1593599852512	1593599853842
REQUEST	4		Create new account	1593599853727	1593599853863	OK	 
USER	Bank Load	4	END	1593599852511	1593599853864
REQUEST	7		Create new account	1593599853745	1593599853879	OK	 
USER	Bank Load	7	END	1593599852512	1593599853880
REQUEST	1		Create new account	1593599853734	1593599853884	OK	 
USER	Bank Load	1	END	1593599852511	1593599853885
REQUEST	2		Create new account	1593599853775	1593599853902	OK	 
USER	Bank Load	2	END	1593599852511	1593599853903
REQUEST	11		Create new account	1593599853765	1593599853909	OK	 
USER	Bank Load	11	END	1593599852517	1593599853910
REQUEST	13		Get Balance	1593599853526	1593599853921	OK	 
REQUEST	8		Create new account	1593599853791	1593599853924	OK	 
USER	Bank Load	8	END	1593599852512	1593599853925
REQUEST	12		Transaction	1593599853803	1593599853952	OK	 
USER	Bank Load	14	START	1593599854028	1593599854028
REQUEST	13		Transaction	1593599853922	1593599854048	OK	 
REQUEST	12		Create new account	1593599853953	1593599854079	OK	 
USER	Bank Load	12	END	1593599853016	1593599854080
REQUEST	13		Create new account	1593599854049	1593599854180	OK	 
USER	Bank Load	13	END	1593599853525	1593599854196
REQUEST	14		Get Balance	1593599854029	1593599854393	OK	 
REQUEST	14		Transaction	1593599854394	1593599854521	OK	 
USER	Bank Load	15	START	1593599854528	1593599854528
REQUEST	14		Create new account	1593599854522	1593599854641	OK	 
USER	Bank Load	14	END	1593599854028	1593599854642
REQUEST	15		Get Balance	1593599854529	1593599854899	OK	 
USER	Bank Load	16	START	1593599855006	1593599855006
REQUEST	15		Transaction	1593599854900	1593599855049	OK	 
REQUEST	15		Create new account	1593599855049	1593599855178	OK	 
USER	Bank Load	15	END	1593599854528	1593599855179
REQUEST	16		Get Balance	1593599855007	1593599855390	OK	 
USER	Bank Load	17	START	1593599855508	1593599855508
REQUEST	16		Transaction	1593599855391	1593599855551	OK	 
REQUEST	16		Create new account	1593599855552	1593599855696	OK	 
USER	Bank Load	16	END	1593599855006	1593599855697
REQUEST	17		Get Balance	1593599855509	1593599855899	OK	 
USER	Bank Load	18	START	1593599856005	1593599856005
REQUEST	17		Transaction	1593599855900	1593599856144	OK	 
REQUEST	17		Create new account	1593599856144	1593599856268	OK	 
USER	Bank Load	17	END	1593599855508	1593599856269
REQUEST	18		Get Balance	1593599856006	1593599856389	OK	 
USER	Bank Load	19	START	1593599856508	1593599856508
REQUEST	18		Transaction	1593599856390	1593599856577	OK	 
REQUEST	18		Create new account	1593599856578	1593599856701	OK	 
USER	Bank Load	18	END	1593599856005	1593599856702
REQUEST	19		Get Balance	1593599856509	1593599856887	OK	 
USER	Bank Load	20	START	1593599856993	1593599856993
REQUEST	19		Transaction	1593599856888	1593599857060	OK	 
REQUEST	19		Create new account	1593599857061	1593599857190	OK	 
USER	Bank Load	19	END	1593599856508	1593599857191
REQUEST	20		Get Balance	1593599856994	1593599857364	OK	 
USER	Bank Load	21	START	1593599857494	1593599857494
REQUEST	20		Transaction	1593599857366	1593599857502	OK	 
USER	Bank Load	22	START	1593599857515	1593599857515
USER	Bank Load	23	START	1593599857547	1593599857547
USER	Bank Load	24	START	1593599857568	1593599857568
USER	Bank Load	25	START	1593599857583	1593599857583
USER	Bank Load	26	START	1593599857605	1593599857605
USER	Bank Load	27	START	1593599857625	1593599857625
REQUEST	20		Create new account	1593599857503	1593599857638	OK	 
USER	Bank Load	20	END	1593599856993	1593599857639
USER	Bank Load	28	START	1593599857647	1593599857647
USER	Bank Load	29	START	1593599857668	1593599857668
USER	Bank Load	30	START	1593599857683	1593599857683
USER	Bank Load	31	START	1593599857703	1593599857703
USER	Bank Load	32	START	1593599857725	1593599857725
USER	Bank Load	33	START	1593599857746	1593599857746
USER	Bank Load	34	START	1593599857768	1593599857768
USER	Bank Load	35	START	1593599857783	1593599857783
USER	Bank Load	36	START	1593599857803	1593599857803
USER	Bank Load	37	START	1593599857825	1593599857825
USER	Bank Load	38	START	1593599857846	1593599857846
USER	Bank Load	39	START	1593599857867	1593599857867
REQUEST	21		Get Balance	1593599857495	1593599857868	OK	 
USER	Bank Load	40	START	1593599857888	1593599857888
REQUEST	22		Get Balance	1593599857516	1593599857897	OK	 
USER	Bank Load	41	START	1593599857903	1593599857903
USER	Bank Load	42	START	1593599857924	1593599857924
USER	Bank Load	43	START	1593599857945	1593599857945
REQUEST	23		Get Balance	1593599857548	1593599857962	OK	 
USER	Bank Load	44	START	1593599857966	1593599857966
USER	Bank Load	45	START	1593599857987	1593599857987
REQUEST	25		Get Balance	1593599857584	1593599857990	OK	 
REQUEST	24		Get Balance	1593599857569	1593599857996	OK	 
REQUEST	26		Get Balance	1593599857606	1593599858005	OK	 
USER	Bank Load	46	START	1593599858008	1593599858008
USER	Bank Load	47	START	1593599858023	1593599858023
REQUEST	21		Transaction	1593599857869	1593599858027	OK	 
REQUEST	27		Get Balance	1593599857626	1593599858028	OK	 
USER	Bank Load	48	START	1593599858043	1593599858043
USER	Bank Load	49	START	1593599858064	1593599858064
USER	Bank Load	50	START	1593599858085	1593599858085
REQUEST	30		Get Balance	1593599857684	1593599858090	OK	 
REQUEST	28		Get Balance	1593599857648	1593599858092	OK	 
USER	Bank Load	51	START	1593599858107	1593599858107
REQUEST	22		Transaction	1593599857898	1593599858108	OK	 
USER	Bank Load	52	START	1593599858128	1593599858128
REQUEST	29		Get Balance	1593599857669	1593599858131	OK	 
USER	Bank Load	53	START	1593599858144	1593599858144
USER	Bank Load	54	START	1593599858166	1593599858166
REQUEST	31		Get Balance	1593599857704	1593599858167	OK	 
REQUEST	23		Transaction	1593599857963	1593599858177	OK	 
USER	Bank Load	55	START	1593599858187	1593599858187
REQUEST	32		Get Balance	1593599857726	1593599858191	OK	 
USER	Bank Load	56	START	1593599858208	1593599858208
USER	Bank Load	57	START	1593599858228	1593599858228
REQUEST	25		Transaction	1593599857991	1593599858235	OK	 
USER	Bank Load	58	START	1593599858243	1593599858243
USER	Bank Load	59	START	1593599858263	1593599858263
USER	Bank Load	60	START	1593599858286	1593599858286
REQUEST	24		Transaction	1593599857996	1593599858287	OK	 
REQUEST	33		Get Balance	1593599857747	1593599858301	OK	 
USER	Bank Load	61	START	1593599858307	1593599858307
USER	Bank Load	62	START	1593599858323	1593599858323
USER	Bank Load	63	START	1593599858343	1593599858343
USER	Bank Load	64	START	1593599858365	1593599858365
REQUEST	26		Transaction	1593599858006	1593599858367	OK	 
USER	Bank Load	65	START	1593599858387	1593599858387
USER	Bank Load	66	START	1593599858408	1593599858408
REQUEST	34		Get Balance	1593599857769	1593599858412	OK	 
USER	Bank Load	67	START	1593599858423	1593599858423
USER	Bank Load	68	START	1593599858444	1593599858444
USER	Bank Load	69	START	1593599858465	1593599858465
USER	Bank Load	70	START	1593599858486	1593599858486
USER	Bank Load	71	START	1593599858507	1593599858507
REQUEST	27		Transaction	1593599858029	1593599858512	OK	 
USER	Bank Load	72	START	1593599858528	1593599858528
USER	Bank Load	73	START	1593599858528	1593599858528
REQUEST	21		Create new account	1593599858028	1593599858546	OK	 
REQUEST	35		Get Balance	1593599857784	1593599858546	OK	 
USER	Bank Load	21	END	1593599857494	1593599858547
USER	Bank Load	74	START	1593599858554	1593599858554
USER	Bank Load	75	START	1593599858575	1593599858575
USER	Bank Load	76	START	1593599858596	1593599858596
USER	Bank Load	77	START	1593599858618	1593599858618
REQUEST	36		Get Balance	1593599857804	1593599858623	OK	 
USER	Bank Load	78	START	1593599858633	1593599858633
USER	Bank Load	79	START	1593599858654	1593599858654
USER	Bank Load	80	START	1593599858675	1593599858675
REQUEST	37		Get Balance	1593599857825	1593599858686	OK	 
REQUEST	28		Transaction	1593599858092	1593599858694	OK	 
USER	Bank Load	81	START	1593599858696	1593599858696
USER	Bank Load	82	START	1593599858718	1593599858718
USER	Bank Load	83	START	1593599858733	1593599858733
USER	Bank Load	84	START	1593599858754	1593599858754
REQUEST	38		Get Balance	1593599857847	1593599858756	OK	 
USER	Bank Load	85	START	1593599858775	1593599858775
REQUEST	30		Transaction	1593599858090	1593599858786	OK	 
USER	Bank Load	86	START	1593599858796	1593599858796
USER	Bank Load	87	START	1593599858817	1593599858817
USER	Bank Load	88	START	1593599858833	1593599858833
USER	Bank Load	89	START	1593599858854	1593599858854
USER	Bank Load	90	START	1593599858876	1593599858876
USER	Bank Load	91	START	1593599858897	1593599858897
USER	Bank Load	92	START	1593599858918	1593599858918
REQUEST	39		Get Balance	1593599857868	1593599858924	OK	 
USER	Bank Load	93	START	1593599858933	1593599858933
REQUEST	22		Create new account	1593599858108	1593599858945	OK	 
USER	Bank Load	22	END	1593599857515	1593599858946
USER	Bank Load	94	START	1593599858954	1593599858954
REQUEST	40		Get Balance	1593599857889	1593599858958	OK	 
REQUEST	29		Transaction	1593599858132	1593599858970	OK	 
USER	Bank Load	95	START	1593599858974	1593599858974
USER	Bank Load	96	START	1593599858996	1593599858996
USER	Bank Load	97	START	1593599859017	1593599859017
USER	Bank Load	98	START	1593599859038	1593599859038
USER	Bank Load	99	START	1593599859053	1593599859053
USER	Bank Load	100	START	1593599859074	1593599859074
USER	Bank Load	101	START	1593599859096	1593599859096
REQUEST	41		Get Balance	1593599857904	1593599859111	OK	 
USER	Bank Load	102	START	1593599859117	1593599859117
USER	Bank Load	103	START	1593599859139	1593599859139
USER	Bank Load	104	START	1593599859153	1593599859153
USER	Bank Load	105	START	1593599859174	1593599859174
USER	Bank Load	106	START	1593599859195	1593599859195
USER	Bank Load	107	START	1593599859216	1593599859216
USER	Bank Load	108	START	1593599859237	1593599859237
USER	Bank Load	109	START	1593599859258	1593599859258
USER	Bank Load	110	START	1593599859274	1593599859274
REQUEST	42		Get Balance	1593599857925	1593599859283	OK	 
USER	Bank Load	111	START	1593599859294	1593599859294
REQUEST	23		Create new account	1593599858177	1593599859314	OK	 
USER	Bank Load	23	END	1593599857547	1593599859315
USER	Bank Load	112	START	1593599859315	1593599859315
USER	Bank Load	113	START	1593599859336	1593599859336
USER	Bank Load	114	START	1593599859356	1593599859356
USER	Bank Load	115	START	1593599859378	1593599859378
USER	Bank Load	116	START	1593599859393	1593599859393
USER	Bank Load	117	START	1593599859414	1593599859414
USER	Bank Load	118	START	1593599859435	1593599859435
REQUEST	31		Transaction	1593599858168	1593599859453	OK	 
USER	Bank Load	119	START	1593599859456	1593599859456
USER	Bank Load	120	START	1593599859477	1593599859477
USER	Bank Load	121	START	1593599859493	1593599859493
USER	Bank Load	122	START	1593599859513	1593599859513
USER	Bank Load	123	START	1593599859535	1593599859535
REQUEST	32		Transaction	1593599858191	1593599859548	OK	 
USER	Bank Load	124	START	1593599859578	1593599859578
USER	Bank Load	125	START	1593599859593	1593599859593
USER	Bank Load	126	START	1593599859614	1593599859614
USER	Bank Load	127	START	1593599859635	1593599859635
USER	Bank Load	128	START	1593599859656	1593599859656
USER	Bank Load	129	START	1593599859678	1593599859678
REQUEST	44		Get Balance	1593599857967	1593599859681	OK	 
REQUEST	43		Get Balance	1593599857946	1593599859681	OK	 
USER	Bank Load	130	START	1593599859693	1593599859693
USER	Bank Load	131	START	1593599859714	1593599859714
USER	Bank Load	132	START	1593599859735	1593599859735
USER	Bank Load	133	START	1593599859756	1593599859756
USER	Bank Load	134	START	1593599859777	1593599859777
REQUEST	25		Create new account	1593599858236	1593599859793	OK	 
USER	Bank Load	25	END	1593599857583	1593599859793
USER	Bank Load	135	START	1593599859798	1593599859798
USER	Bank Load	136	START	1593599859813	1593599859813
USER	Bank Load	137	START	1593599859834	1593599859834
USER	Bank Load	138	START	1593599859855	1593599859855
USER	Bank Load	139	START	1593599859877	1593599859877
USER	Bank Load	140	START	1593599859898	1593599859898
USER	Bank Load	141	START	1593599859913	1593599859913
REQUEST	45		Get Balance	1593599857988	1593599859924	OK	 
USER	Bank Load	142	START	1593599859934	1593599859934
USER	Bank Load	143	START	1593599859954	1593599859954
REQUEST	46		Get Balance	1593599858008	1593599859976	OK	 
USER	Bank Load	144	START	1593599859976	1593599859976
REQUEST	47		Get Balance	1593599858024	1593599859978	OK	 
USER	Bank Load	145	START	1593599859997	1593599859997
USER	Bank Load	146	START	1593599860013	1593599860013
USER	Bank Load	147	START	1593599860034	1593599860034
USER	Bank Load	148	START	1593599860056	1593599860056
REQUEST	48		Get Balance	1593599858044	1593599860068	OK	 
USER	Bank Load	149	START	1593599860077	1593599860077
USER	Bank Load	150	START	1593599860098	1593599860098
USER	Bank Load	151	START	1593599860113	1593599860113
USER	Bank Load	152	START	1593599860134	1593599860134
REQUEST	49		Get Balance	1593599858065	1593599860140	OK	 
REQUEST	24		Create new account	1593599858287	1593599860150	OK	 
USER	Bank Load	24	END	1593599857568	1593599860150
USER	Bank Load	153	START	1593599860155	1593599860155
REQUEST	50		Get Balance	1593599858086	1593599860173	OK	 
USER	Bank Load	154	START	1593599860176	1593599860176
USER	Bank Load	155	START	1593599860198	1593599860198
REQUEST	33		Transaction	1593599858302	1593599860199	OK	 
USER	Bank Load	156	START	1593599860213	1593599860213
REQUEST	52		Get Balance	1593599858129	1593599860231	OK	 
USER	Bank Load	157	START	1593599860234	1593599860234
REQUEST	51		Get Balance	1593599858108	1593599860239	OK	 
REQUEST	26		Create new account	1593599858368	1593599860250	OK	 
USER	Bank Load	26	END	1593599857605	1593599860251
USER	Bank Load	158	START	1593599860255	1593599860255
REQUEST	53		Get Balance	1593599858145	1593599860266	OK	 
USER	Bank Load	159	START	1593599860276	1593599860276
REQUEST	56		Get Balance	1593599858209	1593599860294	OK	 
USER	Bank Load	160	START	1593599860297	1593599860297
REQUEST	54		Get Balance	1593599858167	1593599860305	OK	 
USER	Bank Load	161	START	1593599860313	1593599860313
REQUEST	34		Transaction	1593599858413	1593599860314	OK	 
REQUEST	55		Get Balance	1593599858187	1593599860318	OK	 
REQUEST	57		Get Balance	1593599858229	1593599860334	OK	 
USER	Bank Load	162	START	1593599860335	1593599860335
REQUEST	58		Get Balance	1593599858244	1593599860348	OK	 
USER	Bank Load	163	START	1593599860356	1593599860356
REQUEST	59		Get Balance	1593599858264	1593599860364	OK	 
REQUEST	27		Create new account	1593599858512	1593599860370	OK	 
USER	Bank Load	27	END	1593599857625	1593599860371
USER	Bank Load	164	START	1593599860378	1593599860378
REQUEST	60		Get Balance	1593599858287	1593599860392	OK	 
USER	Bank Load	165	START	1593599860393	1593599860393
USER	Bank Load	166	START	1593599860414	1593599860414
REQUEST	35		Transaction	1593599858547	1593599860421	OK	 
REQUEST	61		Get Balance	1593599858308	1593599860421	OK	 
REQUEST	62		Get Balance	1593599858324	1593599860427	OK	 
USER	Bank Load	167	START	1593599860436	1593599860436
REQUEST	63		Get Balance	1593599858344	1593599860450	OK	 
USER	Bank Load	168	START	1593599860456	1593599860456
REQUEST	65		Get Balance	1593599858387	1593599860474	OK	 
USER	Bank Load	169	START	1593599860477	1593599860477
REQUEST	64		Get Balance	1593599858366	1593599860484	OK	 
