RUN	bank.TransactionsSimulation	transactionssimulation	1593600116115	 	3.3.1
USER	Transactions	6	START	1593600117645	1593600117645
USER	Transactions	3	START	1593600117644	1593600117644
USER	Transactions	2	START	1593600117644	1593600117644
USER	Transactions	7	START	1593600117645	1593600117645
USER	Transactions	11	START	1593600117649	1593600117649
USER	Transactions	9	START	1593600117648	1593600117648
USER	Transactions	4	START	1593600117644	1593600117644
USER	Transactions	5	START	1593600117644	1593600117644
USER	Transactions	10	START	1593600117646	1593600117646
USER	Transactions	1	START	1593600117643	1593600117643
USER	Transactions	8	START	1593600117645	1593600117645
USER	Transactions	12	START	1593600118157	1593600118157
REQUEST	6		Transaction	1593600117701	1593600118193	OK	 
REQUEST	10		Transaction	1593600117706	1593600118193	OK	 
REQUEST	1		Transaction	1593600117705	1593600118202	OK	 
REQUEST	7		Transaction	1593600117702	1593600118206	OK	 
USER	Transactions	6	END	1593600117645	1593600118213
USER	Transactions	10	END	1593600117646	1593600118213
USER	Transactions	1	END	1593600117643	1593600118213
USER	Transactions	7	END	1593600117645	1593600118213
REQUEST	9		Transaction	1593600117708	1593600118248	OK	 
USER	Transactions	9	END	1593600117648	1593600118258
REQUEST	2		Transaction	1593600117703	1593600118265	OK	 
USER	Transactions	2	END	1593600117644	1593600118266
REQUEST	5		Transaction	1593600117707	1593600118281	OK	 
REQUEST	3		Transaction	1593600117699	1593600118281	OK	 
USER	Transactions	5	END	1593600117644	1593600118283
USER	Transactions	3	END	1593600117644	1593600118283
REQUEST	11		Transaction	1593600117710	1593600118293	OK	 
USER	Transactions	11	END	1593600117649	1593600118295
REQUEST	8		Transaction	1593600117704	1593600118308	OK	 
USER	Transactions	8	END	1593600117645	1593600118309
REQUEST	4		Transaction	1593600117709	1593600118318	OK	 
USER	Transactions	4	END	1593600117644	1593600118319
REQUEST	12		Transaction	1593600118158	1593600118556	OK	 
USER	Transactions	12	END	1593600118157	1593600118557
USER	Transactions	13	START	1593600118664	1593600118664
REQUEST	13		Transaction	1593600118665	1593600119045	OK	 
USER	Transactions	13	END	1593600118664	1593600119046
USER	Transactions	14	START	1593600119164	1593600119164
REQUEST	14		Transaction	1593600119165	1593600119568	OK	 
USER	Transactions	14	END	1593600119164	1593600119583
USER	Transactions	15	START	1593600119664	1593600119664
REQUEST	15		Transaction	1593600119665	1593600120048	OK	 
USER	Transactions	15	END	1593600119664	1593600120049
USER	Transactions	16	START	1593600120139	1593600120139
REQUEST	16		Transaction	1593600120140	1593600120525	OK	 
USER	Transactions	16	END	1593600120139	1593600120526
USER	Transactions	17	START	1593600120635	1593600120635
REQUEST	17		Transaction	1593600120636	1593600121013	OK	 
USER	Transactions	17	END	1593600120635	1593600121015
